tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
0, 155, 50, 0.987500, 1, 100, 0.964003, 0.951816
32, 155, 50, 0.987500, 1, 100, 0.966964, 0.953651
64, 155, 50, 0.987500, 1, 100, 0.966782, 0.953535
96, 155, 50, 0.987500, 1, 100, 0.964105, 0.951688
128, 155, 50, 0.987500, 1, 100, 0.963735, 0.954575
160, 155, 50, 0.987500, 1, 100, 0.874901, 1.022387
192, 155, 50, 0.987500, 1, 100, 0.874817, 1.020234
224, 155, 50, 0.987500, 1, 100, 0.874977, 1.019280
256, 155, 50, 0.987500, 1, 100, 0.875698, 1.021683
288, 155, 50, 0.987500, 1, 100, 0.785369, 1.090893
320, 155, 50, 0.987500, 1, 100, 0.791504, 1.086619
352, 155, 50, 0.987500, 1, 100, 0.791927, 1.085047
384, 155, 50, 0.987500, 1, 100, 0.792557, 1.084944
416, 155, 50, 0.987500, 1, 100, 0.682519, 1.168136
448, 155, 50, 0.987500, 1, 100, 0.684830, 1.166329
480, 155, 50, 0.987500, 1, 100, 0.688082, 1.165817
512, 155, 50, 0.987500, 1, 100, 0.688523, 1.166218
544, 155, 50, 0.987500, 1, 100, 0.598832, 1.241749
576, 155, 50, 0.987500, 1, 100, 0.599222, 1.236022
608, 155, 50, 0.987500, 1, 100, 0.598690, 1.234548
640, 155, 50, 0.987500, 1, 100, 0.599274, 1.236469
672, 155, 50, 0.987500, 1, 100, 0.527460, 1.288687
704, 155, 50, 0.987500, 1, 100, 0.524240, 1.289625
736, 155, 50, 0.987500, 1, 100, 0.525429, 1.293440
768, 155, 50, 0.987500, 1, 100, 0.525007, 1.291074
800, 155, 50, 0.987500, 1, 100, 0.476870, 1.329251
832, 155, 50, 0.987500, 1, 100, 0.471878, 1.336296
864, 155, 50, 0.987500, 1, 100, 0.470693, 1.333246
896, 155, 50, 0.987500, 1, 100, 0.469189, 1.334882
928, 155, 50, 0.987500, 1, 100, 0.431757, 1.362167
960, 155, 50, 0.987500, 1, 100, 0.423331, 1.368971
992, 155, 50, 0.987500, 1, 100, 0.425515, 1.369922
1024, 155, 50, 0.987500, 1, 100, 0.427002, 1.368320
1056, 155, 50, 0.987500, 1, 100, 0.394655, 1.390540
1088, 155, 50, 0.987500, 1, 100, 0.384927, 1.398594
1120, 155, 50, 0.987500, 1, 100, 0.388582, 1.399566
1152, 155, 50, 0.987500, 1, 100, 0.384306, 1.398640
1184, 155, 50, 0.987500, 1, 100, 0.363789, 1.420310
1216, 155, 50, 0.987500, 1, 100, 0.351214, 1.424114
1248, 155, 50, 0.987500, 1, 100, 0.348842, 1.428643
1280, 155, 50, 0.987500, 1, 100, 0.352953, 1.428371
1312, 155, 50, 0.987500, 1, 100, 0.333596, 1.436469
1344, 155, 50, 0.987500, 1, 100, 0.323492, 1.443101
1376, 155, 50, 0.987500, 1, 100, 0.324462, 1.448016
1408, 155, 50, 0.987500, 1, 100, 0.325942, 1.446533
1440, 155, 50, 0.987500, 1, 100, 0.307694, 1.459979
1472, 155, 50, 0.987500, 1, 100, 0.296473, 1.465494
1504, 155, 50, 0.987500, 1, 100, 0.277439, 1.487056
1536, 155, 50, 0.987500, 1, 100, 0.272343, 1.485108
1568, 155, 50, 0.987500, 1, 100, 0.239918, 1.507716
1600, 155, 50, 0.987500, 1, 100, 0.227162, 1.521202
1632, 155, 50, 0.987500, 1, 100, 0.200661, 1.540184
1664, 155, 50, 0.987500, 1, 100, 0.209869, 1.538156
1696, 155, 50, 0.987500, 1, 100, 0.170206, 1.563512
1728, 155, 50, 0.987500, 1, 100, 0.144461, 1.591921
1760, 155, 50, 0.987500, 1, 100, 0.137455, 1.596341
1792, 155, 50, 0.987500, 1, 100, 0.122864, 1.604525
1824, 155, 50, 0.987500, 1, 100, 0.108690, 1.614547
1856, 155, 50, 0.987500, 1, 100, 0.090191, 1.628807
1888, 155, 50, 0.987500, 1, 100, 0.094543, 1.625913
1920, 155, 50, 0.987500, 1, 100, 0.086978, 1.632139
1952, 155, 50, 0.987500, 1, 100, 0.092041, 1.625839
1984, 155, 50, 0.987500, 1, 100, 0.071811, 1.642559
2016, 155, 50, 0.987500, 1, 100, 0.074944, 1.642160
2048, 155, 50, 0.987500, 1, 100, 0.081110, 1.635398
2080, 155, 50, 0.987500, 1, 100, 0.074968, 1.640535
2112, 155, 50, 0.987500, 1, 100, 0.073162, 1.638975
